coda,nucleus,onset,jyutping,tone
n,i,g,gin4,4
n,i,g,gin5,5
n,i,g,gin6,6
ng,i,g,ging1,1
ng,i,g,ging2,2
ng,i,g,ging3,3
ng,i,g,ging4,4
ng,i,g,ging5,5
ng,i,g,ging6,6
i,i,g,gii1,1
i,i,g,gii2,2
i,i,g,gii3,3
i,i,g,gii4,4
i,i,g,gii5,5
i,i,g,gii6,6
u,i,g,giu1,1
u,i,g,giu2,2
u,i,g,giu3,3
u,i,g,giu4,4
u,i,g,giu5,5
u,i,g,giu6,6
,i,g,gi1,1
,i,g,gi2,2
,i,g,gi3,3
,i,g,gi4,4
,i,g,gi5,5
,i,g,gi6,6
p,yu,g,gyup1,1
p,yu,g,gyup2,2
p,yu,g,gyup3,3
p,yu,g,gyup4,4
p,yu,g,gyup5,5
p,yu,g,gyup6,6
t,yu,g,gyut1,1
t,yu,g,gyut2,2
t,yu,g,gyut3,3
t,yu,g,gyut4,4
t,yu,g,gyut5,5
t,yu,g,gyut6,6
k,yu,g,gyuk1,1
k,yu,g,gyuk2,2
k,yu,g,gyuk3,3
k,yu,g,gyuk4,4
k,yu,g,gyuk5,5
k,yu,g,gyuk6,6
m,yu,g,gyum1,1
m,yu,g,gyum2,2
m,yu,g,gyum3,3
m,yu,g,gyum4,4
m,yu,g,gyum5,5
m,yu,g,gyum6,6
n,yu,g,gyun1,1
n,yu,g,gyun2,2
n,yu,g,gyun3,3
n,yu,g,gyun4,4
n,yu,g,gyun5,5
n,yu,g,gyun6,6
ng,yu,g,gyung1,1
ng,yu,g,gyung2,2
ng,yu,g,gyung3,3
ng,yu,g,gyung4,4
ng,yu,g,gyung5,5
ng,yu,g,gyung6,6
i,yu,g,gyui1,1
i,yu,g,gyui2,2
i,yu,g,gyui3,3
i,yu,g,gyui4,4
i,yu,g,gyui5,5
i,yu,g,gyui6,6
u,yu,g,gyuu1,1
u,yu,g,gyuu2,2
u,yu,g,gyuu3,3
u,yu,g,gyuu4,4
u,yu,g,gyuu5,5
u,yu,g,gyuu6,6
,yu,g,gyu1,1
,yu,g,gyu2,2
,yu,g,gyu3,3
,yu,g,gyu4,4
,yu,g,gyu5,5
,yu,g,gyu6,6
p,u,g,gup1,1
p,u,g,gup2,2
p,u,g,gup3,3
p,u,g,gup4,4
p,u,g,gup5,5
p,u,g,gup6,6
t,u,g,gut1,1
t,u,g,gut2,2
t,u,g,gut3,3
t,u,g,gut4,4
t,u,g,gut5,5
t,u,g,gut6,6
k,u,g,guk1,1
k,u,g,guk2,2
k,u,g,guk3,3
k,u,g,guk4,4
k,u,g,guk5,5
k,u,g,guk6,6
m,u,g,gum1,1
m,u,g,gum2,2
m,u,g,gum3,3
m,u,g,gum4,4
m,u,g,gum5,5
m,u,g,gum6,6
n,u,g,gun1,1
n,u,g,gun2,2
n,u,g,gun3,3
n,u,g,gun4,4
n,u,g,gun5,5
n,u,g,gun6,6
ng,u,g,gung1,1
ng,u,g,gung2,2
ng,u,g,gung3,3
ng,u,g,gung4,4
ng,u,g,gung5,5
ng,u,g,gung6,6
i,u,g,gui1,1
i,u,g,gui2,2
i,u,g,gui3,3
i,u,g,gui4,4
i,u,g,gui5,5
i,u,g,gui6,6
u,u,g,guu1,1
u,u,g,guu2,2
u,u,g,guu3,3
u,u,g,guu4,4
u,u,g,guu5,5
u,u,g,guu6,6
,u,g,gu1,1
,u,g,gu2,2
,u,g,gu3,3
,u,g,gu4,4
,u,g,gu5,5
,u,g,gu6,6
p,oe,g,goep1,1
p,oe,g,goep2,2
p,oe,g,goep3,3
p,oe,g,goep4,4
p,oe,g,goep5,5
p,oe,g,goep6,6
t,oe,g,goet1,1
t,oe,g,goet2,2
t,oe,g,goet3,3
t,oe,g,goet4,4
t,oe,g,goet5,5
t,oe,g,goet6,6
k,oe,g,goek1,1
k,oe,g,goek2,2
k,oe,g,goek3,3
k,oe,g,goek4,4
k,oe,g,goek5,5
k,oe,g,goek6,6
m,oe,g,goem1,1
m,oe,g,goem2,2
m,oe,g,goem3,3
m,oe,g,goem4,4
m,oe,g,goem5,5
m,oe,g,goem6,6
n,oe,g,goen1,1
n,oe,g,goen2,2
n,oe,g,goen3,3
n,oe,g,goen4,4
n,oe,g,goen5,5
n,oe,g,goen6,6
ng,oe,g,goeng1,1
ng,oe,g,goeng2,2
ng,oe,g,goeng3,3
ng,oe,g,goeng4,4
ng,oe,g,goeng5,5
ng,oe,g,goeng6,6
i,oe,g,goei1,1
i,oe,g,goei2,2
i,oe,g,goei3,3
i,oe,g,goei4,4
i,oe,g,goei5,5
i,oe,g,goei6,6
u,oe,g,goeu1,1
u,oe,g,goeu2,2
u,oe,g,goeu3,3
u,oe,g,goeu4,4
u,oe,g,goeu5,5
u,oe,g,goeu6,6
,oe,g,goe1,1
,oe,g,goe2,2
,oe,g,goe3,3
,oe,g,goe4,4
,oe,g,goe5,5
,oe,g,goe6,6
p,e,g,gep1,1
p,e,g,gep2,2
p,e,g,gep3,3
p,e,g,gep4,4
p,e,g,gep5,5
p,e,g,gep6,6
t,e,g,get1,1
t,e,g,get2,2
t,e,g,get3,3
t,e,g,get4,4
t,e,g,get5,5
t,e,g,get6,6
k,e,g,gek1,1
k,e,g,gek2,2
k,e,g,gek3,3
k,e,g,gek4,4
k,e,g,gek5,5
k,e,g,gek6,6
m,e,g,gem1,1
m,e,g,gem2,2
m,e,g,gem3,3
m,e,g,gem4,4
m,e,g,gem5,5
m,e,g,gem6,6
n,e,g,gen1,1
n,e,g,gen2,2
n,e,g,gen3,3
n,e,g,gen4,4
n,e,g,gen5,5
n,e,g,gen6,6
ng,e,g,geng1,1
ng,e,g,geng2,2
ng,e,g,geng3,3
ng,e,g,geng4,4
ng,e,g,geng5,5
ng,e,g,geng6,6
i,e,g,gei1,1
i,e,g,gei2,2
i,e,g,gei3,3
i,e,g,gei4,4
i,e,g,gei5,5
i,e,g,gei6,6
u,e,g,geu1,1
u,e,g,geu2,2
u,e,g,geu3,3
u,e,g,geu4,4
u,e,g,geu5,5
u,e,g,geu6,6
,e,g,ge1,1
,e,g,ge2,2
,e,g,ge3,3
,e,g,ge4,4
,e,g,ge5,5
,e,g,ge6,6
p,eo,g,geop1,1
p,eo,g,geop2,2
p,eo,g,geop3,3
p,eo,g,geop4,4
p,eo,g,geop5,5
p,eo,g,geop6,6
t,eo,g,geot1,1
t,eo,g,geot2,2
t,eo,g,geot3,3
t,eo,g,geot4,4
t,eo,g,geot5,5
t,eo,g,geot6,6
k,eo,g,geok1,1
k,eo,g,geok2,2
k,eo,g,geok3,3
k,eo,g,geok4,4
k,eo,g,geok5,5
k,eo,g,geok6,6
m,eo,g,geom1,1
m,eo,g,geom2,2
m,eo,g,geom3,3
m,eo,g,geom4,4
m,eo,g,geom5,5
m,eo,g,geom6,6
n,eo,g,geon1,1
n,eo,g,geon2,2
n,eo,g,geon3,3
n,eo,g,geon4,4
n,eo,g,geon5,5
n,eo,g,geon6,6
ng,eo,g,geong1,1
ng,eo,g,geong2,2
ng,eo,g,geong3,3
ng,eo,g,geong4,4
ng,eo,g,geong5,5
ng,eo,g,geong6,6
i,eo,g,geoi1,1
i,eo,g,geoi2,2
i,eo,g,geoi3,3
i,eo,g,geoi4,4
i,eo,g,geoi5,5
i,eo,g,geoi6,6
u,eo,g,geou1,1
u,eo,g,geou2,2
u,eo,g,geou3,3
u,eo,g,geou4,4
u,eo,g,geou5,5
u,eo,g,geou6,6
,eo,g,geo1,1
,eo,g,geo2,2
,eo,g,geo3,3
,eo,g,geo4,4
,eo,g,geo5,5
,eo,g,geo6,6
p,o,g,gop1,1
p,o,g,gop2,2
p,o,g,gop3,3
p,o,g,gop4,4
p,o,g,gop5,5
p,o,g,gop6,6
t,o,g,got1,1
t,o,g,got2,2
t,o,g,got3,3
t,o,g,got4,4
t,o,g,got5,5
t,o,g,got6,6
k,o,g,gok1,1
k,o,g,gok2,2
k,o,g,gok3,3
k,o,g,gok4,4
k,o,g,gok5,5
k,o,g,gok6,6
m,o,g,gom1,1
m,o,g,gom2,2
m,o,g,gom3,3
m,o,g,gom4,4
m,o,g,gom5,5
m,o,g,gom6,6
n,o,g,gon1,1
n,o,g,gon2,2
n,o,g,gon3,3
n,o,g,gon4,4
n,o,g,gon5,5
n,o,g,gon6,6
ng,o,g,gong1,1
ng,o,g,gong2,2
ng,o,g,gong3,3
ng,o,g,gong4,4
ng,o,g,gong5,5
ng,o,g,gong6,6
i,o,g,goi1,1
i,o,g,goi2,2
i,o,g,goi3,3
i,o,g,goi4,4
i,o,g,goi5,5
i,o,g,goi6,6
u,o,g,gou1,1
u,o,g,gou2,2
u,o,g,gou3,3
u,o,g,gou4,4
u,o,g,gou5,5
u,o,g,gou6,6
,o,g,go1,1
,o,g,go2,2
,o,g,go3,3
,o,g,go4,4
,o,g,go5,5
,o,g,go6,6
p,aa,gw,gwaap1,1
p,aa,gw,gwaap2,2
p,aa,gw,gwaap3,3
p,aa,gw,gwaap4,4
p,aa,gw,gwaap5,5
p,aa,gw,gwaap6,6
t,aa,gw,gwaat1,1
t,aa,gw,gwaat2,2
t,aa,gw,gwaat3,3
t,aa,gw,gwaat4,4
t,aa,gw,gwaat5,5
t,aa,gw,gwaat6,6
k,aa,gw,gwaak1,1
k,aa,gw,gwaak2,2
k,aa,gw,gwaak3,3
k,aa,gw,gwaak4,4
k,aa,gw,gwaak5,5
k,aa,gw,gwaak6,6
m,aa,gw,gwaam1,1
m,aa,gw,gwaam2,2
m,aa,gw,gwaam3,3
m,aa,gw,gwaam4,4
m,aa,gw,gwaam5,5
m,aa,gw,gwaam6,6
n,aa,gw,gwaan1,1
n,aa,gw,gwaan2,2
n,aa,gw,gwaan3,3
n,aa,gw,gwaan4,4
n,aa,gw,gwaan5,5
n,aa,gw,gwaan6,6
ng,aa,gw,gwaang1,1
ng,aa,gw,gwaang2,2
ng,aa,gw,gwaang3,3
ng,aa,gw,gwaang4,4
ng,aa,gw,gwaang5,5
ng,aa,gw,gwaang6,6
i,aa,gw,gwaai1,1
i,aa,gw,gwaai2,2
i,aa,gw,gwaai3,3
i,aa,gw,gwaai4,4
i,aa,gw,gwaai5,5
i,aa,gw,gwaai6,6
u,aa,gw,gwaau1,1
u,aa,gw,gwaau2,2
u,aa,gw,gwaau3,3
u,aa,gw,gwaau4,4
u,aa,gw,gwaau5,5
u,aa,gw,gwaau6,6
,aa,gw,gwaa1,1
,aa,gw,gwaa2,2
,aa,gw,gwaa3,3
,aa,gw,gwaa4,4
,aa,gw,gwaa5,5
,aa,gw,gwaa6,6
p,a,gw,gwap1,1
p,a,gw,gwap2,2
p,a,gw,gwap3,3
p,a,gw,gwap4,4
p,a,gw,gwap5,5
p,a,gw,gwap6,6
t,a,gw,gwat1,1
t,a,gw,gwat2,2
t,a,gw,gwat3,3
t,a,gw,gwat4,4
t,a,gw,gwat5,5
t,a,gw,gwat6,6
k,a,gw,gwak1,1
k,a,gw,gwak2,2
k,a,gw,gwak3,3
k,a,gw,gwak4,4
k,a,gw,gwak5,5
k,a,gw,gwak6,6
m,a,gw,gwam1,1
m,a,gw,gwam2,2
m,a,gw,gwam3,3
m,a,gw,gwam4,4
m,a,gw,gwam5,5
m,a,gw,gwam6,6
n,a,gw,gwan1,1
n,a,gw,gwan2,2
n,a,gw,gwan3,3
n,a,gw,gwan4,4
n,a,gw,gwan5,5
n,a,gw,gwan6,6
ng,a,gw,gwang1,1
ng,a,gw,gwang2,2
ng,a,gw,gwang3,3
ng,a,gw,gwang4,4
ng,a,gw,gwang5,5
ng,a,gw,gwang6,6
i,a,gw,gwai1,1
i,a,gw,gwai2,2
i,a,gw,gwai3,3
i,a,gw,gwai4,4
i,a,gw,gwai5,5
i,a,gw,gwai6,6
u,a,gw,gwau1,1
u,a,gw,gwau2,2
u,a,gw,gwau3,3
u,a,gw,gwau4,4
u,a,gw,gwau5,5
u,a,gw,gwau6,6
,a,gw,gwa1,1
,a,gw,gwa2,2
,a,gw,gwa3,3
,a,gw,gwa4,4
,a,gw,gwa5,5
,a,gw,gwa6,6
p,i,gw,gwip1,1
p,i,gw,gwip2,2
p,i,gw,gwip3,3
p,i,gw,gwip4,4
p,i,gw,gwip5,5
p,i,gw,gwip6,6
t,i,gw,gwit1,1
t,i,gw,gwit2,2
t,i,gw,gwit3,3
t,i,gw,gwit4,4
t,i,gw,gwit5,5
t,i,gw,gwit6,6
k,i,gw,gwik1,1
k,i,gw,gwik2,2
k,i,gw,gwik3,3
k,i,gw,gwik4,4
k,i,gw,gwik5,5
k,i,gw,gwik6,6
m,i,gw,gwim1,1
m,i,gw,gwim2,2
m,i,gw,gwim3,3
m,i,gw,gwim4,4
m,i,gw,gwim5,5
m,i,gw,gwim6,6
n,i,gw,gwin1,1
n,i,gw,gwin2,2
n,i,gw,gwin3,3
n,i,gw,gwin4,4
n,i,gw,gwin5,5
n,i,gw,gwin6,6
ng,i,gw,gwing1,1
ng,i,gw,gwing2,2
ng,i,gw,gwing3,3
ng,i,gw,gwing4,4
ng,i,gw,gwing5,5
ng,i,gw,gwing6,6
i,i,gw,gwii1,1
i,i,gw,gwii2,2
i,i,gw,gwii3,3
i,i,gw,gwii4,4
i,i,gw,gwii5,5
i,i,gw,gwii6,6
u,i,gw,gwiu1,1
u,i,gw,gwiu2,2
u,i,gw,gwiu3,3
u,i,gw,gwiu4,4
u,i,gw,gwiu5,5
u,i,gw,gwiu6,6
,i,gw,gwi1,1
,i,gw,gwi2,2
,i,gw,gwi3,3
,i,gw,gwi4,4
,i,gw,gwi5,5
,i,gw,gwi6,6
p,yu,gw,gwyup1,1
p,yu,gw,gwyup2,2
p,yu,gw,gwyup3,3
p,yu,gw,gwyup4,4
p,yu,gw,gwyup5,5
p,yu,gw,gwyup6,6
t,yu,gw,gwyut1,1
t,yu,gw,gwyut2,2
t,yu,gw,gwyut3,3
t,yu,gw,gwyut4,4
t,yu,gw,gwyut5,5
t,yu,gw,gwyut6,6
k,yu,gw,gwyuk1,1
k,yu,gw,gwyuk2,2
k,yu,gw,gwyuk3,3
k,yu,gw,gwyuk4,4
k,yu,gw,gwyuk5,5
k,yu,gw,gwyuk6,6
m,yu,gw,gwyum1,1
m,yu,gw,gwyum2,2
m,yu,gw,gwyum3,3
m,yu,gw,gwyum4,4
m,yu,gw,gwyum5,5
m,yu,gw,gwyum6,6
n,yu,gw,gwyun1,1
n,yu,gw,gwyun2,2
n,yu,gw,gwyun3,3
n,yu,gw,gwyun4,4
n,yu,gw,gwyun5,5
n,yu,gw,gwyun6,6
ng,yu,gw,gwyung1,1
ng,yu,gw,gwyung2,2
ng,yu,gw,gwyung3,3
ng,yu,gw,gwyung4,4
ng,yu,gw,gwyung5,5
ng,yu,gw,gwyung6,6
i,yu,gw,gwyui1,1
i,yu,gw,gwyui2,2
i,yu,gw,gwyui3,3
i,yu,gw,gwyui4,4
i,yu,gw,gwyui5,5
i,yu,gw,gwyui6,6
u,yu,gw,gwyuu1,1
u,yu,gw,gwyuu2,2
u,yu,gw,gwyuu3,3
u,yu,gw,gwyuu4,4
u,yu,gw,gwyuu5,5
u,yu,gw,gwyuu6,6
,yu,gw,gwyu1,1
,yu,gw,gwyu2,2
,yu,gw,gwyu3,3
,yu,gw,gwyu4,4
,yu,gw,gwyu5,5
,yu,gw,gwyu6,6
p,u,gw,gwup1,1
p,u,gw,gwup2,2
p,u,gw,gwup3,3
p,u,gw,gwup4,4
p,u,gw,gwup5,5
p,u,gw,gwup6,6
t,u,gw,gwut1,1
t,u,gw,gwut2,2
t,u,gw,gwut3,3
t,u,gw,gwut4,4
t,u,gw,gwut5,5
t,u,gw,gwut6,6
k,u,gw,gwuk1,1
k,u,gw,gwuk2,2
k,u,gw,gwuk3,3
k,u,gw,gwuk4,4
k,u,gw,gwuk5,5
k,u,gw,gwuk6,6
m,u,gw,gwum1,1
m,u,gw,gwum2,2
m,u,gw,gwum3,3
m,u,gw,gwum4,4
m,u,gw,gwum5,5
m,u,gw,gwum6,6
n,u,gw,gwun1,1
n,u,gw,gwun2,2
n,u,gw,gwun3,3
n,u,gw,gwun4,4
n,u,gw,gwun5,5
n,u,gw,gwun6,6
ng,u,gw,gwung1,1
ng,u,gw,gwung2,2
ng,u,gw,gwung3,3
ng,u,gw,gwung4,4
ng,u,gw,gwung5,5
ng,u,gw,gwung6,6
i,u,gw,gwui1,1
i,u,gw,gwui2,2
i,u,gw,gwui3,3
i,u,gw,gwui4,4
i,u,gw,gwui5,5
i,u,gw,gwui6,6
u,u,gw,gwuu1,1
u,u,gw,gwuu2,2
u,u,gw,gwuu3,3
u,u,gw,gwuu4,4
u,u,gw,gwuu5,5
u,u,gw,gwuu6,6
,u,gw,gwu1,1
,u,gw,gwu2,2
,u,gw,gwu3,3
,u,gw,gwu4,4
,u,gw,gwu5,5
,u,gw,gwu6,6
p,oe,gw,gwoep1,1
p,oe,gw,gwoep2,2
p,oe,gw,gwoep3,3
p,oe,gw,gwoep4,4
p,oe,gw,gwoep5,5
p,oe,gw,gwoep6,6
t,oe,gw,gwoet1,1
t,oe,gw,gwoet2,2
t,oe,gw,gwoet3,3
t,oe,gw,gwoet4,4
t,oe,gw,gwoet5,5
t,oe,gw,gwoet6,6
k,oe,gw,gwoek1,1
k,oe,gw,gwoek2,2
k,oe,gw,gwoek3,3
k,oe,gw,gwoek4,4
k,oe,gw,gwoek5,5
k,oe,gw,gwoek6,6
m,oe,gw,gwoem1,1
m,oe,gw,gwoem2,2
m,oe,gw,gwoem3,3
m,oe,gw,gwoem4,4
m,oe,gw,gwoem5,5
m,oe,gw,gwoem6,6
n,oe,gw,gwoen1,1
n,oe,gw,gwoen2,2
n,oe,gw,gwoen3,3
n,oe,gw,gwoen4,4
n,oe,gw,gwoen5,5
n,oe,gw,gwoen6,6
ng,oe,gw,gwoeng1,1
ng,oe,gw,gwoeng2,2
ng,oe,gw,gwoeng3,3
ng,oe,gw,gwoeng4,4
ng,oe,gw,gwoeng5,5
ng,oe,gw,gwoeng6,6
i,oe,gw,gwoei1,1
i,oe,gw,gwoei2,2
i,oe,gw,gwoei3,3
i,oe,gw,gwoei4,4
i,oe,gw,gwoei5,5
i,oe,gw,gwoei6,6
u,oe,gw,gwoeu1,1
u,oe,gw,gwoeu2,2
u,oe,gw,gwoeu3,3
u,oe,gw,gwoeu4,4
u,oe,gw,gwoeu5,5
u,oe,gw,gwoeu6,6
,oe,gw,gwoe1,1
,oe,gw,gwoe2,2
,oe,gw,gwoe3,3
,oe,gw,gwoe4,4
,oe,gw,gwoe5,5
,oe,gw,gwoe6,6
p,e,gw,gwep1,1
p,e,gw,gwep2,2
p,e,gw,gwep3,3
p,e,gw,gwep4,4
p,e,gw,gwep5,5
p,e,gw,gwep6,6
t,e,gw,gwet1,1
t,e,gw,gwet2,2
t,e,gw,gwet3,3
t,e,gw,gwet4,4
t,e,gw,gwet5,5
t,e,gw,gwet6,6
k,e,gw,gwek1,1
k,e,gw,gwek2,2
k,e,gw,gwek3,3
k,e,gw,gwek4,4
k,e,gw,gwek5,5
k,e,gw,gwek6,6
m,e,gw,gwem1,1
m,e,gw,gwem2,2
m,e,gw,gwem3,3
m,e,gw,gwem4,4
m,e,gw,gwem5,5
m,e,gw,gwem6,6
n,e,gw,gwen1,1
n,e,gw,gwen2,2
n,e,gw,gwen3,3
n,e,gw,gwen4,4
n,e,gw,gwen5,5
n,e,gw,gwen6,6
ng,e,gw,gweng1,1
ng,e,gw,gweng2,2
ng,e,gw,gweng3,3
ng,e,gw,gweng4,4
ng,e,gw,gweng5,5
ng,e,gw,gweng6,6
i,e,gw,gwei1,1
i,e,gw,gwei2,2
i,e,gw,gwei3,3
i,e,gw,gwei4,4
i,e,gw,gwei5,5
i,e,gw,gwei6,6
u,e,gw,gweu1,1
u,e,gw,gweu2,2
u,e,gw,gweu3,3
u,e,gw,gweu4,4
u,e,gw,gweu5,5
u,e,gw,gweu6,6
,e,gw,gwe1,1
,e,gw,gwe2,2
,e,gw,gwe3,3
,e,gw,gwe4,4
,e,gw,gwe5,5
,e,gw,gwe6,6
p,eo,gw,gweop1,1
p,eo,gw,gweop2,2
p,eo,gw,gweop3,3
p,eo,gw,gweop4,4
p,eo,gw,gweop5,5
p,eo,gw,gweop6,6
t,eo,gw,gweot1,1
t,eo,gw,gweot2,2
t,eo,gw,gweot3,3
t,eo,gw,gweot4,4
t,eo,gw,gweot5,5
t,eo,gw,gweot6,6
k,eo,gw,gweok1,1
k,eo,gw,gweok2,2
k,eo,gw,gweok3,3
k,eo,gw,gweok4,4
k,eo,gw,gweok5,5
k,eo,gw,gweok6,6
m,eo,gw,gweom1,1
m,eo,gw,gweom2,2
m,eo,gw,gweom3,3
m,eo,gw,gweom4,4
m,eo,gw,gweom5,5
m,eo,gw,gweom6,6
n,eo,gw,gweon1,1
n,eo,gw,gweon2,2
n,eo,gw,gweon3,3
n,eo,gw,gweon4,4
n,eo,gw,gweon5,5
n,eo,gw,gweon6,6
ng,eo,gw,gweong1,1
ng,eo,gw,gweong2,2
ng,eo,gw,gweong3,3
ng,eo,gw,gweong4,4
ng,eo,gw,gweong5,5
ng,eo,gw,gweong6,6
i,eo,gw,gweoi1,1
i,eo,gw,gweoi2,2
i,eo,gw,gweoi3,3
i,eo,gw,gweoi4,4
i,eo,gw,gweoi5,5
i,eo,gw,gweoi6,6
u,eo,gw,gweou1,1
u,eo,gw,gweou2,2
u,eo,gw,gweou3,3
u,eo,gw,gweou4,4
u,eo,gw,gweou5,5
u,eo,gw,gweou6,6
,eo,gw,gweo1,1
,eo,gw,gweo2,2
,eo,gw,gweo3,3
,eo,gw,gweo4,4
,eo,gw,gweo5,5
,eo,gw,gweo6,6
p,o,gw,gwop1,1
p,o,gw,gwop2,2
p,o,gw,gwop3,3
p,o,gw,gwop4,4
p,o,gw,gwop5,5
p,o,gw,gwop6,6
t,o,gw,gwot1,1
t,o,gw,gwot2,2
t,o,gw,gwot3,3
t,o,gw,gwot4,4
t,o,gw,gwot5,5
t,o,gw,gwot6,6
k,o,gw,gwok1,1
k,o,gw,gwok2,2
k,o,gw,gwok3,3
k,o,gw,gwok4,4
k,o,gw,gwok5,5
k,o,gw,gwok6,6
m,o,gw,gwom1,1
m,o,gw,gwom2,2
m,o,gw,gwom3,3
m,o,gw,gwom4,4
m,o,gw,gwom5,5
m,o,gw,gwom6,6
n,o,gw,gwon1,1
n,o,gw,gwon2,2
n,o,gw,gwon3,3
n,o,gw,gwon4,4
n,o,gw,gwon5,5
n,o,gw,gwon6,6
ng,o,gw,gwong1,1
ng,o,gw,gwong2,2
ng,o,gw,gwong3,3
ng,o,gw,gwong4,4
ng,o,gw,gwong5,5
ng,o,gw,gwong6,6
i,o,gw,gwoi1,1
i,o,gw,gwoi2,2
i,o,gw,gwoi3,3
i,o,gw,gwoi4,4
i,o,gw,gwoi5,5
i,o,gw,gwoi6,6
u,o,gw,gwou1,1
u,o,gw,gwou2,2
u,o,gw,gwou3,3
u,o,gw,gwou4,4
u,o,gw,gwou5,5
u,o,gw,gwou6,6
,o,gw,gwo1,1
,o,gw,gwo2,2
,o,gw,gwo3,3
,o,gw,gwo4,4
,o,gw,gwo5,5
,o,gw,gwo6,6
p,aa,z,zaap1,1
p,aa,z,zaap2,2
p,aa,z,zaap3,3
p,aa,z,zaap4,4
p,aa,z,zaap5,5
p,aa,z,zaap6,6
t,aa,z,zaat1,1
t,aa,z,zaat2,2
t,aa,z,zaat3,3
t,aa,z,zaat4,4
t,aa,z,zaat5,5
t,aa,z,zaat6,6
k,aa,z,zaak1,1
k,aa,z,zaak2,2
k,aa,z,zaak3,3
k,aa,z,zaak4,4
k,aa,z,zaak5,5
k,aa,z,zaak6,6
m,aa,z,zaam1,1
m,aa,z,zaam2,2
m,aa,z,zaam3,3
m,aa,z,zaam4,4
m,aa,z,zaam5,5
m,aa,z,zaam6,6
n,aa,z,zaan1,1
n,aa,z,zaan2,2
n,aa,z,zaan3,3
n,aa,z,zaan4,4
n,aa,z,zaan5,5
n,aa,z,zaan6,6
ng,aa,z,zaang1,1
ng,aa,z,zaang2,2
ng,aa,z,zaang3,3
ng,aa,z,zaang4,4
ng,aa,z,zaang5,5
ng,aa,z,zaang6,6
i,aa,z,zaai1,1
i,aa,z,zaai2,2
i,aa,z,zaai3,3
i,aa,z,zaai4,4
i,aa,z,zaai5,5
i,aa,z,zaai6,6
u,aa,z,zaau1,1
u,aa,z,zaau2,2
u,aa,z,zaau3,3
u,aa,z,zaau4,4
u,aa,z,zaau5,5
u,aa,z,zaau6,6
,aa,z,zaa1,1
,aa,z,zaa2,2
,aa,z,zaa3,3
,aa,z,zaa4,4
,aa,z,zaa5,5
,aa,z,zaa6,6
p,a,z,zap1,1
p,a,z,zap2,2
p,a,z,zap3,3
p,a,z,zap4,4
p,a,z,zap5,5
p,a,z,zap6,6
t,a,z,zat1,1
t,a,z,zat2,2
t,a,z,zat3,3
t,a,z,zat4,4
t,a,z,zat5,5
t,a,z,zat6,6
k,a,z,zak1,1
k,a,z,zak2,2
k,a,z,zak3,3
k,a,z,zak4,4
k,a,z,zak5,5
k,a,z,zak6,6
m,a,z,zam1,1
m,a,z,zam2,2
m,a,z,zam3,3
m,a,z,zam4,4
m,a,z,zam5,5
m,a,z,zam6,6
n,a,z,zan1,1
n,a,z,zan2,2
n,a,z,zan3,3
n,a,z,zan4,4
n,a,z,zan5,5
n,a,z,zan6,6
ng,a,z,zang1,1
ng,a,z,zang2,2
ng,a,z,zang3,3
ng,a,z,zang4,4
ng,a,z,zang5,5
ng,a,z,zang6,6
i,a,z,zai1,1
i,a,z,zai2,2
i,a,z,zai3,3
i,a,z,zai4,4
i,a,z,zai5,5
i,a,z,zai6,6
u,a,z,zau1,1
u,a,z,zau2,2
u,a,z,zau3,3
u,a,z,zau4,4
u,a,z,zau5,5
u,a,z,zau6,6
,a,z,za1,1
,a,z,za2,2
,a,z,za3,3
,a,z,za4,4
,a,z,za5,5
,a,z,za6,6
p,i,z,zip1,1
p,i,z,zip2,2
p,i,z,zip3,3
p,i,z,zip4,4
p,i,z,zip5,5
p,i,z,zip6,6
t,i,z,zit1,1
t,i,z,zit2,2
t,i,z,zit3,3
t,i,z,zit4,4
t,i,z,zit5,5
t,i,z,zit6,6
k,i,z,zik1,1
k,i,z,zik2,2
k,i,z,zik3,3
k,i,z,zik4,4
k,i,z,zik5,5
k,i,z,zik6,6
m,i,z,zim1,1
m,i,z,zim2,2
m,i,z,zim3,3
m,i,z,zim4,4
m,i,z,zim5,5
m,i,z,zim6,6
n,i,z,zin1,1
n,i,z,zin2,2
n,i,z,zin3,3
n,i,z,zin4,4
n,i,z,zin5,5
n,i,z,zin6,6
ng,i,z,zing1,1
ng,i,z,zing2,2
ng,i,z,zing3,3
ng,i,z,zing4,4
ng,i,z,zing5,5
ng,i,z,zing6,6
i,i,z,zii1,1
i,i,z,zii2,2
i,i,z,zii3,3
i,i,z,zii4,4
i,i,z,zii5,5
i,i,z,zii6,6
u,i,z,ziu1,1
u,i,z,ziu2,2
u,i,z,ziu3,3
u,i,z,ziu4,4
u,i,z,ziu5,5
u,i,z,ziu6,6
,i,z,zi1,1
,i,z,zi2,2
,i,z,zi3,3
,i,z,zi4,4
,i,z,zi5,5
,i,z,zi6,6
p,yu,z,zyup1,1
p,yu,z,zyup2,2
p,yu,z,zyup3,3
p,yu,z,zyup4,4
p,yu,z,zyup5,5
p,yu,z,zyup6,6
t,yu,z,zyut1,1
t,yu,z,zyut2,2
t,yu,z,zyut3,3
t,yu,z,zyut4,4
t,yu,z,zyut5,5
t,yu,z,zyut6,6
k,yu,z,zyuk1,1
k,yu,z,zyuk2,2
k,yu,z,zyuk3,3
k,yu,z,zyuk4,4
k,yu,z,zyuk5,5
