coda,nucleus,onset,jyutping,tone
p,u,b,bup6,6
t,u,b,but1,1
t,u,b,but2,2
t,u,b,but3,3
t,u,b,but4,4
t,u,b,but5,5
t,u,b,but6,6
k,u,b,buk1,1
k,u,b,buk2,2
k,u,b,buk3,3
k,u,b,buk4,4
k,u,b,buk5,5
k,u,b,buk6,6
m,u,b,bum1,1
m,u,b,bum2,2
m,u,b,bum3,3
m,u,b,bum4,4
m,u,b,bum5,5
m,u,b,bum6,6
n,u,b,bun1,1
n,u,b,bun2,2
n,u,b,bun3,3
n,u,b,bun4,4
n,u,b,bun5,5
n,u,b,bun6,6
ng,u,b,bung1,1
ng,u,b,bung2,2
ng,u,b,bung3,3
ng,u,b,bung4,4
ng,u,b,bung5,5
ng,u,b,bung6,6
i,u,b,bui1,1
i,u,b,bui2,2
i,u,b,bui3,3
i,u,b,bui4,4
i,u,b,bui5,5
i,u,b,bui6,6
u,u,b,buu1,1
u,u,b,buu2,2
u,u,b,buu3,3
u,u,b,buu4,4
u,u,b,buu5,5
u,u,b,buu6,6
,u,b,bu1,1
,u,b,bu2,2
,u,b,bu3,3
,u,b,bu4,4
,u,b,bu5,5
,u,b,bu6,6
p,oe,b,boep1,1
p,oe,b,boep2,2
p,oe,b,boep3,3
p,oe,b,boep4,4
p,oe,b,boep5,5
p,oe,b,boep6,6
t,oe,b,boet1,1
t,oe,b,boet2,2
t,oe,b,boet3,3
t,oe,b,boet4,4
t,oe,b,boet5,5
t,oe,b,boet6,6
k,oe,b,boek1,1
k,oe,b,boek2,2
k,oe,b,boek3,3
k,oe,b,boek4,4
k,oe,b,boek5,5
k,oe,b,boek6,6
m,oe,b,boem1,1
m,oe,b,boem2,2
m,oe,b,boem3,3
m,oe,b,boem4,4
m,oe,b,boem5,5
m,oe,b,boem6,6
n,oe,b,boen1,1
n,oe,b,boen2,2
n,oe,b,boen3,3
n,oe,b,boen4,4
n,oe,b,boen5,5
n,oe,b,boen6,6
ng,oe,b,boeng1,1
ng,oe,b,boeng2,2
ng,oe,b,boeng3,3
ng,oe,b,boeng4,4
ng,oe,b,boeng5,5
ng,oe,b,boeng6,6
i,oe,b,boei1,1
i,oe,b,boei2,2
i,oe,b,boei3,3
i,oe,b,boei4,4
i,oe,b,boei5,5
i,oe,b,boei6,6
u,oe,b,boeu1,1
u,oe,b,boeu2,2
u,oe,b,boeu3,3
u,oe,b,boeu4,4
u,oe,b,boeu5,5
u,oe,b,boeu6,6
,oe,b,boe1,1
,oe,b,boe2,2
